employee_id,age,gender,country,city,education,experience_level,years_experience,job_title,industry,programming_langiage,company_size,remote_type,tools_used,certification,salary_usd,work_hours_per_week,satisfaction_score,promotion_last_2_years
527,35,Male,India,Watkinsstad,Bachelors,Mid,3,AI Engineer,SaaS,Python,Medium,Hybrid,"Spark, Python, PyTorch",IBM Data Science,32322.0,38,9.0,Yes
528,30,Other,Brazil,Emilymouth,Masters,Entry,0,Analytics Engineer,Retail,R,Medium,Hybrid,"Power BI, Tableau, TensorFlow",Microsoft Power BI,18088.0,58,4.7,Yes
529,55,Other,Australia,Veronicamouth,Masters,Senior,6,Data Analyst,Gaming,R,Medium,Hybrid,"Excel, SQL, TensorFlow",AWS Certified,53173.0,40,6.8,No
530,50,Other,UK,East Tanya,Masters,Lead,17,Data Scientist,SaaS,Python,Large,Hybrid,"Python, NumPy, Power BI",IBM Data Science,104870.0,39,6.2,Yes
531,37,Female,Brazil,Dominiquehaven,Masters,Lead,14,AI Engineer,E-commerce,Python,Medium,Onsite,"NumPy, Python, Pandas",IBM Data Science,66477.0,33,8.7,No
532,33,Other,India,Merrittland,Masters,Lead,12,BI Analyst,SaaS,Python,Medium,Hybrid,"TensorFlow, Python, Spark",None,46058.0,44,6.8,Yes
533,22,Other,Poland,Davistown,Masters,Senior,9,Analytics Engineer,E-commerce,Julia,Large,Remote,"NumPy, Excel, Python",None,67091.0,33,8.5,No
534,36,Female,Poland,Lake Ann,Masters,Lead,14,AI Engineer,SaaS,Python,Medium,Hybrid,"NumPy, Excel, PyTorch",IBM Data Science,94068.0,35,8.1,Yes
535,39,Other,Poland,Rodgersfurt,Bachelors,Lead,16,BI Analyst,Consulting,Julia,Medium,Hybrid,"Spark, TensorFlow, SQL",TensorFlow Developer,78133.0,45,9.6,Yes
536,27,Male,India,Anthonyton,Bachelors,Mid,5,Analytics Engineer,Finance,Python,Medium,Remote,"Tableau, SQL, NumPy",None,44311.0,58,7.4,No
537,41,Other,Brazil,New Savannah,PhD,Lead,17,Data Analyst,Retail,Julia,Small,Hybrid,"PyTorch, NumPy, Spark",Microsoft Power BI,84280.0,37,8.6,No
538,31,Male,UK,Fergusonmouth,Masters,Lead,12,Data Scientist,Consulting,Python,Large,Hybrid,"PyTorch, Power BI, Tableau",Google Data Analytics,88676.0,58,8.9,Yes
539,46,Female,Canada,East Juanview,PhD,Lead,20,Data Scientist,Gaming,Scala,Small,Hybrid,"PyTorch, NumPy, Python",IBM Data Science,106783.0,35,9.8,Yes
540,29,Other,Brazil,Robinfort,Bachelors,Senior,10,Analytics Engineer,EdTech,Julia,Medium,Onsite,"PyTorch, NumPy, Excel",Microsoft Power BI,42757.0,47,6.9,Yes
541,37,Other,Brazil,Port Stephanie,Bachelors,Lead,14,Data Analyst,Finance,R,Large,Remote,"SQL, Excel, NumPy",Google Data Analytics,79480.0,56,9.3,Yes
542,42,Male,USA,Port Joshuashire,PhD,Senior,9,Data Scientist,EdTech,Scala,Large,Hybrid,"TensorFlow, Tableau, PyTorch",Microsoft Power BI,99140.0,60,8.2,Yes
543,39,Male,Canada,South Joshua,Masters,Senior,8,AI Engineer,Retail,R,Medium,Onsite,"Power BI, Pandas, Spark",Microsoft Power BI,86335.0,43,7.4,No
544,26,Male,Canada,Mariahport,PhD,Senior,7,Data Analyst,E-commerce,R,Large,Onsite,"Excel, Tableau, Python",Azure Data Engineer,53165.0,34,5.9,No
545,47,Male,Poland,Martinfort,PhD,Lead,13,AI Engineer,Finance,Python,Large,Hybrid,"Pandas, PyTorch, Spark",Microsoft Power BI,98421.0,48,9.5,No
546,23,Other,USA,Richardmouth,Masters,Lead,18,Data Engineer,Finance,R,Medium,Hybrid,"Tableau, Excel, PyTorch",Microsoft Power BI,90442.0,40,8.7,No
547,28,Other,Poland,South Ryan,PhD,Entry,2,AI Engineer,Consulting,Python,Small,Hybrid,"Tableau, Power BI, Python",IBM Data Science,39150.0,40,9.6,No
548,23,Male,UK,Alexanderview,Bachelors,Senior,9,BI Analyst,EdTech,Scala,Medium,Remote,"Tableau, NumPy, TensorFlow",None,50403.0,31,5.5,Yes
549,49,Other,Australia,West Billy,Bachelors,Lead,16,AI Engineer,Healthcare,Python,Small,Hybrid,"NumPy, Pandas, PyTorch",Azure Data Engineer,96439.0,43,4.9,No
550,49,Male,USA,Woodsfort,PhD,Mid,5,Business Analyst,Retail,Python,Large,Onsite,"NumPy, Pandas, SQL",Google Data Analytics,69174.0,47,5.8,No
551,38,Female,Brazil,Stephenburgh,PhD,Lead,20,AI Engineer,EdTech,Scala,Small,Hybrid,"Spark, PyTorch, TensorFlow",TensorFlow Developer,111547.0,44,9.2,Yes
552,23,Other,Canada,New Kelsey,PhD,Senior,7,Data Engineer,E-commerce,R,Medium,Remote,"Power BI, SQL, Excel",Azure Data Engineer,88280.0,30,9.8,Yes
553,26,Male,India,Jonathanburgh,PhD,Entry,1,Data Scientist,Healthcare,R,Medium,Hybrid,"Power BI, Excel, NumPy",Microsoft Power BI,23922.0,33,8.6,Yes
554,27,Male,Canada,West Kristen,PhD,Mid,3,AI Engineer,Gaming,Scala,Large,Hybrid,"PyTorch, Pandas, TensorFlow",None,83634.0,51,5.0,Yes
555,25,Male,Brazil,South Lisamouth,Masters,Mid,5,AI Engineer,Consulting,Python,Medium,Onsite,"NumPy, Spark, Python",TensorFlow Developer,42366.0,47,7.4,Yes
556,28,Female,Brazil,North Willie,Bachelors,Senior,7,Data Engineer,Healthcare,SQL,Small,Remote,"NumPy, SQL, PyTorch",IBM Data Science,45016.0,37,5.8,Yes
557,34,Other,Poland,West Christineborough,Bachelors,Senior,6,Data Analyst,Healthcare,Scala,Large,Onsite,"SQL, TensorFlow, Power BI",IBM Data Science,30076.0,60,5.3,No
558,49,Male,India,Williamsville,PhD,Lead,20,AI Engineer,Healthcare,Scala,Medium,Remote,"TensorFlow, Power BI, NumPy",TensorFlow Developer,97253.0,55,5.6,Yes
559,39,Other,Brazil,Cartermouth,Bachelors,Lead,18,Data Analyst,SaaS,Python,Medium,Remote,"Spark, Excel, Power BI",TensorFlow Developer,97512.0,31,9.3,Yes
560,26,Female,Canada,North Karen,PhD,Entry,0,Data Scientist,Gaming,SQL,Medium,Remote,"SQL, PyTorch, Tableau",None,46896.0,55,4.7,No
561,54,Female,Brazil,Ericborough,Bachelors,Senior,10,AI Engineer,Retail,Python,Medium,Hybrid,"Power BI, Python, PyTorch",IBM Data Science,62617.0,31,7.2,Yes
562,30,Male,Canada,Valdezton,PhD,Mid,4,Data Analyst,E-commerce,SQL,Small,Onsite,"Python, TensorFlow, Tableau",Microsoft Power BI,38213.0,47,9.6,No
563,42,Other,Canada,North Melanie,Masters,Mid,5,AI Engineer,Gaming,Python,Small,Remote,"Tableau, TensorFlow, NumPy",Azure Data Engineer,,46,8.7,Yes
564,24,Female,India,Jamesborough,PhD,Entry,0,AI Engineer,Gaming,R,Large,Onsite,"SQL, Tableau, Spark",AWS Certified,29674.0,53,9.6,No
565,41,Other,Australia,Lake Brandon,PhD,Mid,4,Business Analyst,EdTech,R,Small,Remote,"Excel, NumPy, PyTorch",Microsoft Power BI,41104.0,36,7.8,Yes
566,55,Other,USA,Lake Leefort,Masters,Senior,10,Business Analyst,Consulting,Scala,Large,Remote,"TensorFlow, Tableau, Excel",Microsoft Power BI,90807.0,34,7.4,No
567,33,Other,USA,Castillofurt,Masters,Lead,18,Data Engineer,Retail,Python,Large,Hybrid,"PyTorch, TensorFlow, Power BI",Google Data Analytics,154378.0,59,8.6,No
568,45,Male,Germany,Lisamouth,PhD,Lead,16,AI Engineer,Finance,Scala,Medium,Hybrid,"Spark, Power BI, TensorFlow",Google Data Analytics,124065.0,31,7.3,No
569,46,Male,India,New Davidmouth,Bachelors,Lead,11,BI Analyst,Retail,R,Small,Onsite,"TensorFlow, NumPy, Spark",Google Data Analytics,38038.0,44,10.0,Yes
570,47,Other,Canada,Lake Gina,PhD,Senior,6,BI Analyst,SaaS,R,Large,Remote,"SQL, Spark, Power BI",Microsoft Power BI,64836.0,31,5.1,Yes
571,31,Male,UK,Kaitlynstad,Bachelors,Lead,17,AI Engineer,Healthcare,R,Small,Remote,"NumPy, PyTorch, Pandas",Google Data Analytics,95424.0,60,4.1,No
572,40,Female,Australia,New Tanya,Bachelors,Senior,10,BI Analyst,Retail,Python,Large,Onsite,"PyTorch, Spark, SQL",Azure Data Engineer,64773.0,35,8.6,No
573,54,Other,India,South Angelaview,Masters,Mid,4,AI Engineer,EdTech,Python,Small,Hybrid,"Excel, Spark, Python",None,28688.0,47,9.1,Yes
574,55,Other,Poland,North Kathleenmouth,PhD,Senior,7,Data Scientist,Retail,Julia,Medium,Remote,"SQL, Excel, TensorFlow",Azure Data Engineer,51970.0,46,5.9,Yes
575,48,Male,India,North Spencermouth,Masters,Lead,12,Data Analyst,EdTech,Scala,Large,Remote,"NumPy, Tableau, Excel",Google Data Analytics,55034.0,30,8.9,No
576,28,Other,UK,Douglasside,Masters,Lead,12,AI Engineer,E-commerce,Julia,Large,Remote,"PyTorch, Excel, Tableau",Google Data Analytics,102171.0,33,9.2,No
577,29,Other,Australia,Hickmanberg,Bachelors,Lead,12,Analytics Engineer,Finance,Julia,Large,Onsite,"Spark, TensorFlow, Tableau",Azure Data Engineer,95267.0,50,7.9,Yes
578,54,Male,Canada,Lake Kennethside,Bachelors,Mid,4,Data Scntist,Consulting,Scala,Small,Hybrid,"Excel, NumPy, Spark",IBM Data Science,43032.0,42,6.1,No
579,52,Male,India,North Rogerville,Masters,Lead,14,Data Scientist,Finance,SQL,Medium,Onsite,"NumPy, Spark, Tableau",TensorFlow Developer,84609.0,60,9.5,No
580,27,Male,Brazil,East Ana,Masters,Senior,10,Data Analyst,SaaS,R,Large,Remote,"Pandas, Tableau, PyTorch",None,61313.0,60,9.9,No
581,43,Female,Poland,Fisherville,PhD,Senior,9,Analytics Engineer,Consulting,Scala,Medium,Hybrid,"TensorFlow, Excel, SQL",Google Data Analytics,58956.0,47,8.2,No
582,39,Male,Poland,Aguilarville,PhD,Lead,17,BI Analyst,E-commerce,SQL,Medium,Remote,"SQL, Excel, Python",None,81010.0,45,4.6,Yes
583,33,Male,Australia,New Marcusside,Masters,Mid,4,AI Engineer,Retail,Julia,Large,Remote,"Tableau, TensorFlow, Excel",Azure Data Engineer,74432.0,50,4.5,No
584,34,Female,Australia,South Courtney,Masters,Mid,3,Data Scientist,Gaming,Scala,Small,Hybrid,"Python, Excel, NumPy",Microsoft Power BI,43455.0,33,9.1,No
585,33,Female,USA,Haroldmouth,Bachelors,Mid,4,Data Analyst,E-commerce,Julia,Small,Onsite,"SQL, Power BI, NumPy",Google Data Analytics,37563.0,33,6.9,Yes
586,27,Male,India,New Bradley,PhD,Mid,3,BI Analyst,Consulting,Python,Large,Onsite,"Tableau, SQL, TensorFlow",Google Data Analytics,27425.0,30,9.6,No
587,25,Other,Australia,South Haley,PhD,Lead,12,Data Scntist,Gaming,Python,Large,Remote,"Pandas, Tableau, SQL",Microsoft Power BI,104311.0,37,7.2,Yes
588,24,Female,Poland,East Emilyfurt,Bachelors,Entry,0,Machine Learning Engineer,EdTech,R,Medium,Onsite,"SQL, Pandas, Excel",None,21636.0,58,4.8,Yes
589,25,Male,UK,Port Karenside,Masters,Senior,9,AI Engineer,Finance,R,Small,Remote,"Power BI, Python, SQL",AWS Certified,76484.0,45,4.7,Yes
590,47,Female,UK,New Matthewport,PhD,Senior,8,Machine Learning Engineer,EdTech,Scala,Small,Onsite,"Pandas, Power BI, Python",IBM Data Science,69951.0,48,7.8,Yes
591,37,Male,USA,Whiteshire,Masters,Lead,11,Data Scientist,Gaming,Python,Medium,Hybrid,"PyTorch, SQL, NumPy",Azure Data Engineer,90570.0,33,8.1,Yes
592,46,Female,Canada,Port Julie,PhD,Lead,16,Data Analyst,Gaming,SQL,Large,Remote,"NumPy, Power BI, Tableau",Google Data Analytics,93198.0,38,9.4,No
593,43,Other,USA,Littlefurt,Masters,Lead,19,AI Engineer,E-commerce,Julia,Large,Onsite,"Excel, TensorFlow, SQL",Google Data Analytics,139372.0,37,7.1,No
594,23,Other,UK,Englishbury,Bachelors,Lead,18,Analytics Engineer,Gaming,Python,Medium,Hybrid,"Spark, TensorFlow, Power BI",IBM Data Science,68678.0,34,8.8,Yes
595,47,Other,Canada,Port Michaelport,PhD,Senior,10,Data Engineer,Healthcare,SQL,Medium,Hybrid,"Pandas, Power BI, Excel",TensorFlow Developer,76219.0,49,6.8,No
596,36,Female,UK,Smithburgh,Masters,Senior,9,Analytics Engineer,Retail,Julia,Large,Remote,"Python, Pandas, NumPy",Microsoft Power BI,,53,4.9,No
597,33,Female,Brazil,Marieborough,PhD,Senior,10,Data Scntist,E-commerce,Python,Medium,Remote,"Power BI, PyTorch, TensorFlow",None,55946.0,57,6.2,No
598,24,Female,Poland,Watsonview,PhD,Lead,17,Data Scientist,SaaS,Scala,Small,Remote,"NumPy, TensorFlow, Spark",AWS Certified,66589.0,41,6.6,No
599,33,Male,India,Nancychester,Bachelors,Senior,7,Analytics Engineer,Healthcare,Python,Medium,Remote,"Excel, NumPy, Tableau",Microsoft Power BI,45107.0,54,8.3,Yes
600,44,Female,Poland,Deniseshire,PhD,Senior,9,Business Analyst,Finance,R,Medium,Hybrid,"SQL, Spark, PyTorch",Google Data Analytics,50199.0,45,9.0,No
601,55,Other,India,West Davidtown,PhD,Lead,19,Data Scientist,Healthcare,Scala,Large,Remote,"Spark, TensorFlow, Power BI",Azure Data Engineer,99966.0,35,4.6,No
602,29,Female,India,Hurstbury,Masters,Lead,13,Machine Learning Engineer,EdTech,Scala,Small,Onsite,"SQL, Python, NumPy",IBM Data Science,64451.0,49,9.1,Yes
603,46,Male,India,Hernandezburgh,Masters,Entry,2,Business Analyst,E-commerce,Julia,Large,Onsite,"Tableau, PyTorch, Python",Google Data Analytics,19923.0,46,7.6,Yes
604,52,Other,India,Christopherchester,Bachelors,Mid,5,BI Analyst,EdTech,Julia,Small,Hybrid,"Tableau, SQL, NumPy",None,25009.0,54,4.1,Yes
605,28,Male,Brazil,Lake Feliciaberg,PhD,Mid,3,Data Engineer,Consulting,SQL,Large,Remote,"SQL, Spark, Tableau",Google Data Analytics,38224.0,33,7.1,No
606,45,Female,Poland,Port Brianport,Masters,Entry,1,Analytics Engineer,SaaS,Scala,Medium,Onsite,"SQL, Tableau, Excel",Microsoft Power BI,26740.0,57,9.4,Yes
607,38,Male,India,New Tina,PhD,Entry,1,AI Engineer,Finance,Julia,Medium,Remote,"TensorFlow, Excel, Tableau",Microsoft Power BI,33394.0,45,7.3,Yes
608,23,Male,Canada,South Brianport,Masters,Lead,16,Analytics Engineer,Gaming,SQL,Small,Remote,"SQL, Pandas, Power BI",Microsoft Power BI,110886.0,40,5.3,Yes
609,37,Female,India,Port Shannonchester,PhD,Lead,18,Business Analyst,SaaS,Scala,Small,Onsite,"NumPy, Tableau, Spark",None,91830.0,37,7.3,No
610,23,Female,Poland,West John,PhD,Mid,5,Data Engineer,E-commerce,SQL,Large,Onsite,"Pandas, Python, Tableau",IBM Data Science,52568.0,57,9.4,Yes
611,41,Male,India,North Juliachester,PhD,Lead,17,Business Analyst,SaaS,Python,Large,Hybrid,"TensorFlow, SQL, Pandas",None,78821.0,42,7.7,Yes
612,31,Female,USA,North Ryanport,Masters,Lead,11,Data Analyst,EdTech,SQL,Large,Remote,"Power BI, Excel, Tableau",None,100978.0,60,9.2,No
613,48,Female,USA,New Stephanie,Bachelors,Lead,16,Data Engineer,Retail,Julia,Medium,Onsite,"Tableau, Excel, Python",TensorFlow Developer,114315.0,32,4.0,No
614,41,Female,USA,North Timothyhaven,Masters,Senior,6,Business Analyst,SaaS,SQL,Medium,Onsite,"Excel, Python, Tableau",IBM Data Science,65246.0,42,4.9,No
615,27,Male,Poland,New Kirkville,PhD,Entry,2,BI Analyst,SaaS,SQL,Large,Onsite,"Power BI, NumPy, SQL",AWS Certified,30528.0,45,6.2,Yes
616,30,Female,Australia,New Glenn,PhD,Lead,20,Data Engineer,Retail,Scala,Medium,Hybrid,"Pandas, PyTorch, Excel",None,116717.0,50,9.3,Yes
617,48,Other,Brazil,Amymouth,PhD,Mid,3,Business Analyst,Healthcare,Julia,Large,Hybrid,"SQL, Excel, TensorFlow",TensorFlow Developer,33731.0,46,9.4,No
618,31,Other,India,Anthonyhaven,Masters,Lead,13,Data Analyst,E-commerce,R,Medium,Remote,"Power BI, Tableau, TensorFlow",Microsoft Power BI,49365.0,54,7.1,No
619,36,Female,UK,Ryanville,Masters,Lead,12,Machine Learning Engineer,SaaS,Python,Small,Hybrid,"Power BI, TensorFlow, Pandas",IBM Data Science,74574.0,32,8.2,No
620,55,Male,Australia,Catherinechester,Masters,Entry,0,Data Scientist,EdTech,Julia,Small,Hybrid,"Excel, Pandas, Spark",Google Data Analytics,33558.0,45,5.4,Yes
621,36,Other,Australia,Kennedyland,Masters,Entry,1,BI Analyst,Consulting,Python,Medium,Hybrid,"Python, TensorFlow, Pandas",IBM Data Science,34491.0,41,7.6,Yes
622,53,Other,Brazil,North Sharonbury,Bachelors,Lead,20,Data Engineer,EdTech,Python,Small,Remote,"SQL, Tableau, Excel",Azure Data Engineer,86212.0,60,7.7,No
623,42,Other,UK,East Bobby,Masters,Senior,8,BI Analyst,Retail,R,Medium,Remote,"Python, Excel, TensorFlow",Microsoft Power BI,55309.0,59,5.3,Yes
624,55,Male,UK,New Krystal,PhD,Mid,4,BI Analyst,Healthcare,Julia,Medium,Hybrid,"TensorFlow, Power BI, Tableau",AWS Certified,50753.0,60,8.8,Yes
625,32,Female,USA,Karenchester,Masters,Senior,9,Analytics Engineer,EdTech,Scala,Large,Hybrid,"SQL, Python, Pandas",Google Data Analytics,93524.0,33,9.1,Yes
626,29,Male,Australia,Timothyshire,PhD,Lead,11,Analytics Engineer,SaaS,R,Medium,Onsite,"Power BI, Excel, Tableau",None,91891.0,43,8.9,Yes
627,32,Female,Poland,South Cristian,Bachelors,Entry,0,Data Engineer,EdTech,R,Large,Hybrid,"PyTorch, Pandas, SQL",Microsoft Power BI,28466.0,53,10.0,No
628,43,Male,Germany,Graceport,Masters,Entry,2,Data Engineer,Healthcare,Scala,Large,Hybrid,"Tableau, Pandas, NumPy",AWS Certified,52963.0,54,5.1,No
629,45,Male,Poland,West Todd,Bachelors,Lead,17,Analytics Engineer,Healthcare,Python,Medium,Onsite,"PyTorch, TensorFlow, Excel",TensorFlow Developer,103190.0,47,5.4,Yes
630,38,Female,Brazil,Fergusonhaven,Bachelors,Senior,9,Data Analyst,Consulting,R,Large,Hybrid,"Power BI, Excel, Spark",IBM Data Science,56141.0,40,6.0,No
631,54,Male,Brazil,Christophermouth,Masters,Lead,18,BI Analyst,E-commerce,Scala,Small,Hybrid,"Tableau, SQL, Spark",Google Data Analytics,49460.0,59,9.8,Yes
632,33,Other,India,Douglaston,Bachelors,Lead,17,AI Engineer,Consulting,Python,Medium,Remote,"PyTorch, NumPy, Tableau",AWS Certified,69796.0,54,5.3,No
633,45,Male,Brazil,New Ruthhaven,PhD,Mid,4,Business Analyst,E-commerce,Scala,Small,Hybrid,"SQL, PyTorch, Pandas",TensorFlow Developer,29950.0,30,8.4,No
634,44,Other,Australia,Bryanville,Bachelors,Lead,20,Data Scientist,Consulting,Python,Medium,Hybrid,"TensorFlow, NumPy, Python",IBM Data Science,126244.0,31,7.8,Yes
635,27,Female,India,Juarezborough,Bachelors,Lead,18,BI Analyst,Healthcare,SQL,Large,Hybrid,"TensorFlow, Spark, NumPy",None,84238.0,38,7.4,No
636,53,Other,USA,Nicoleville,PhD,Entry,0,Data Analyst,Consulting,Julia,Small,Hybrid,"Power BI, SQL, Tableau",None,32538.0,33,9.6,Yes
637,34,Other,USA,East Maryborough,Masters,Lead,20,AI Engineer,Consulting,R,Medium,Remote,"Excel, TensorFlow, Power BI",AWS Certified,152020.0,42,5.2,No
638,55,Other,Brazil,West Jacobchester,Masters,Senior,7,Business Analyst,Retail,Python,Small,Onsite,"Tableau, TensorFlow, Pandas",IBM Data Science,32129.0,57,4.9,No
639,41,Male,Canada,Ashleyborough,Masters,Lead,20,Data Scientist,Consulting,Python,Medium,Hybrid,"Python, NumPy, Power BI",None,119151.0,39,9.0,No
640,35,Other,Canada,Devonberg,PhD,Mid,5,Data Engineer,E-commerce,R,Small,Remote,"Python, Pandas, Power BI",IBM Data Science,64165.0,38,8.9,Yes
641,49,Female,India,North Ryan,Bachelors,Lead,19,Data Scientist,Finance,SQL,Large,Onsite,"Spark, Power BI, NumPy",Microsoft Power BI,104585.0,56,4.8,No
642,48,Female,Germany,West Mariah,PhD,Lead,16,AI Engineer,SaaS,Julia,Large,Onsite,"Power BI, Tableau, Python",TensorFlow Developer,141080.0,49,6.6,Yes
643,52,Other,Poland,Port Kelly,Masters,Lead,18,Data Scientist,Gaming,SQL,Small,Hybrid,"Excel, Python, NumPy",TensorFlow Developer,81647.0,47,4.8,No
644,30,Other,India,Andreaport,Masters,Senior,9,Data Scientist,Consulting,SQL,Medium,Hybrid,"Excel, Spark, NumPy",Google Data Analytics,40982.0,36,9.4,Yes
645,41,Female,UK,West Dalemouth,Masters,Entry,1,AI Engineer,Healthcare,SQL,Medium,Hybrid,"NumPy, TensorFlow, Spark",None,50714.0,53,5.5,No
646,29,Other,Canada,Davidview,Masters,Lead,19,Data Scientist,Finance,Julia,Medium,Remote,"TensorFlow, NumPy, PyTorch",AWS Certified,137226.0,59,8.6,No
647,55,Male,Brazil,Fordton,PhD,Senior,6,Analytics Engineer,Retail,R,Medium,Remote,"SQL, PyTorch, Excel",IBM Data Science,35166.0,59,10.0,No
648,47,Female,Australia,Hamptonside,Masters,Lead,12,Data Scientist,Finance,SQL,Small,Onsite,"TensorFlow, NumPy, Tableau",Microsoft Power BI,69862.0,45,4.9,Yes
649,36,Female,Poland,Stewartburgh,Masters,Lead,17,Data Analyst,Retail,SQL,Small,Hybrid,"PyTorch, Spark, Excel",Microsoft Power BI,50890.0,49,6.6,Yes
650,52,Female,Poland,North Joshuaville,Masters,Entry,1,Machine Learning Engineer,EdTech,R,Large,Hybrid,"NumPy, Power BI, Tableau",Azure Data Engineer,36464.0,56,8.2,No
651,24,Female,Australia,Vanceton,Masters,Lead,14,AI Engineer,Retail,R,Medium,Hybrid,"Python, Pandas, TensorFlow",None,84599.0,31,4.3,Yes
652,34,Female,Brazil,Andrewstown,Masters,Lead,18,Analytics Engineer,Gaming,Scala,Large,Hybrid,"Tableau, Spark, Power BI",IBM Data Science,69719.0,53,8.8,Yes
653,39,Male,Canada,Grayberg,Masters,Entry,2,Data Scientist,Retail,Python,Large,Remote,"Spark, Power BI, NumPy",Microsoft Power BI,56529.0,56,7.0,No
654,53,Male,Australia,Bethfurt,Masters,Senior,10,Data Scntist,Healthcare,R,Large,Hybrid,"PyTorch, NumPy, Spark",Microsoft Power BI,98132.0,41,6.5,No
655,26,Female,USA,West Alexander,Bachelors,Lead,18,AI Engineer,E-commerce,Scala,Large,Remote,"Spark, PyTorch, Tableau",Microsoft Power BI,147801.0,36,6.0,No
656,48,Male,Australia,Joshuaside,PhD,Lead,20,AI Engineer,Retail,SQL,Medium,Hybrid,"TensorFlow, NumPy, Spark",Google Data Analytics,149633.0,48,8.8,No
657,26,Other,Brazil,Jonesfurt,PhD,Lead,12,Business Analyst,E-commerce,R,Medium,Hybrid,"NumPy, Tableau, SQL",AWS Certified,46546.0,44,8.4,Yes
658,35,Other,India,South Davidborough,PhD,Senior,8,Analytics Engineer,Healthcare,Python,Medium,Hybrid,"Power BI, TensorFlow, PyTorch",TensorFlow Developer,48007.0,33,5.4,No
659,29,Other,Poland,Madisonchester,PhD,Lead,12,BI Analyst,Healthcare,Scala,Medium,Remote,"Python, SQL, TensorFlow",IBM Data Science,68224.0,52,7.2,No
660,55,Male,Brazil,Lake Terrimouth,PhD,Lead,19,AI Engineer,Healthcare,Python,Medium,Remote,"Spark, Excel, Power BI",AWS Certified,123058.0,58,8.2,Yes
661,49,Female,USA,New Barbara,Bachelors,Senior,7,Machine Learning Engineer,SaaS,Scala,Small,Hybrid,"TensorFlow, Tableau, Power BI",TensorFlow Developer,70434.0,60,9.0,Yes
662,47,Other,Poland,Rogersfort,PhD,Lead,12,Analytics Engineer,Finance,Python,Small,Onsite,"Tableau, NumPy, TensorFlow",Microsoft Power BI,47976.0,39,4.9,Yes
663,24,Other,Canada,New Justinland,PhD,Lead,19,BI Analyst,E-commerce,Python,Medium,Hybrid,"Spark, NumPy, PyTorch",Azure Data Engineer,99592.0,45,4.2,Yes
664,54,Female,UK,Mariahmouth,PhD,Lead,19,BI Analyst,SaaS,SQL,Small,Remote,"Spark, Tableau, Pandas",AWS Certified,84877.0,51,8.7,No
665,47,Other,Brazil,Port Stacyfort,Masters,Senior,9,AI Engineer,Gaming,Scala,Small,Hybrid,"Tableau, SQL, Excel",TensorFlow Developer,38838.0,30,6.0,No
666,36,Male,Germany,New Michael,Masters,Lead,11,Data Engineer,Consulting,Python,Medium,Onsite,"NumPy, TensorFlow, Tableau",AWS Certified,78630.0,34,8.8,Yes
667,43,Male,India,New Daniel,PhD,Lead,20,BI Analyst,SaaS,Scala,Small,Remote,"Spark, Python, Tableau",TensorFlow Developer,57206.0,60,8.2,Yes
668,25,Female,Brazil,East Nicole,Masters,Senior,7,Business Analyst,EdTech,Scala,Large,Remote,"SQL, Spark, Excel",IBM Data Science,41298.0,47,8.5,Yes
669,48,Female,Canada,North Kaitlyn,Bachelors,Mid,3,BI Analyst,Consulting,Python,Medium,Remote,"PyTorch, Power BI, Pandas",None,42664.0,30,9.3,Yes
670,27,Female,USA,North Sydneyfurt,Bachelors,Lead,17,Data Analyst,EdTech,R,Small,Hybrid,"Excel, Tableau, Python",AWS Certified,107572.0,54,9.3,Yes
671,23,Other,UK,Cardenasville,Masters,Senior,9,Machine Learning Engineer,SaaS,SQL,Small,Hybrid,"Tableau, Excel, SQL",AWS Certified,72890.0,54,5.6,Yes
672,41,Female,USA,North Sharonmouth,Bachelors,Entry,1,Data Scientist,E-commerce,Python,Small,Remote,"SQL, NumPy, Tableau",Google Data Analytics,40625.0,46,6.7,No
673,24,Female,Poland,East Darlene,Bachelors,Lead,16,Data Scientist,E-commerce,Julia,Small,Hybrid,"PyTorch, TensorFlow, NumPy",IBM Data Science,54351.0,36,7.8,Yes
674,31,Other,Germany,South Christinafurt,Masters,Lead,17,Data Engineer,E-commerce,Julia,Large,Remote,"Excel, Python, PyTorch",IBM Data Science,120245.0,60,5.9,No
675,33,Other,UK,Debraville,Bachelors,Lead,17,Machine Learning Engineer,EdTech,SQL,Medium,Remote,"Spark, PyTorch, TensorFlow",Google Data Analytics,78970.0,54,8.0,Yes
676,43,Male,Poland,Torresfort,Bachelors,Lead,20,Business Analyst,SaaS,R,Large,Remote,"Python, Spark, Tableau",IBM Data Science,94314.0,43,9.1,No
677,28,Other,USA,Griffithchester,PhD,Entry,1,BI Analyst,Finance,R,Large,Remote,"NumPy, Tableau, TensorFlow",AWS Certified,60167.0,43,4.2,No
678,29,Other,Australia,Port Jimmystad,PhD,Entry,1,Data Scntist,Finance,Python,Small,Remote,"Excel, Spark, PyTorch",Microsoft Power BI,37157.0,43,9.9,Yes
679,50,Female,Brazil,Stevenport,PhD,Senior,9,Analytics Engineer,E-commerce,Julia,Large,Remote,"Tableau, Excel, NumPy",AWS Certified,59816.0,34,6.2,No
680,26,Other,India,West Danny,Masters,Lead,15,AI Engineer,Consulting,Scala,Large,Remote,"TensorFlow, Excel, Python",Google Data Analytics,76440.0,55,8.5,No
